Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure,TempWater,TempWater Provider
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197209,Water - Precipitation - rain,1972-09-15,1972-09-01,1972-09-30,,-9.1,University of Copenhagen,,,15.9,0.8,International Atomic Energy Agency,676,28.4,32.4,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197210,Water - Precipitation - rain,1972-10-15,1972-10-01,1972-10-31,,-7.46,University of Copenhagen,,,14,0.7,International Atomic Energy Agency,238,28.8,32.5,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197211,Water - Precipitation - rain,1972-11-15,1972-11-01,1972-11-30,,,,,,14,0.8,International Atomic Energy Agency,88,28.1,31.6,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197212,Water - Precipitation - rain,1972-12-15,1972-12-01,1972-12-31,,-5.09,International Atomic Energy Agency,-29.9,International Atomic Energy Agency,12,0.5,International Atomic Energy Agency,55,26.7,27.5,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197301,Water - Precipitation - unspecified (not reported),1973-01-15,1973-01-01,1973-01-31,,,,,,,,,,26.9,26.2,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197302,Water - Precipitation - unspecified (not reported),1973-02-15,1973-02-01,1973-02-28,,,,,,,,,,29.1,30.1,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197303,Water - Precipitation - rain,1973-03-15,1973-03-01,1973-03-31,,-1.47,International Atomic Energy Agency,-4,International Atomic Energy Agency,14.6,0.9,International Atomic Energy Agency,103,29.5,32.4,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197304,Water - Precipitation - rain,1973-04-15,1973-04-01,1973-04-30,,0.55,International Atomic Energy Agency,12,International Atomic Energy Agency,18.9,3.5,International Atomic Energy Agency,6,31.2,34.6,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197305,Water - Precipitation - rain,1973-05-15,1973-05-01,1973-05-31,,-6.06,International Atomic Energy Agency,-36.5,International Atomic Energy Agency,12.4,1.4,International Atomic Energy Agency,158,29.8,33.4,,
GNIP,GNIP/M/TH/01,BANGKOK,TH,4845500,13.73,100.5,2,Precipitation collectors - unknown,[Partner: Hydrometeorology Division / Meteorological Department],197306,Water - Precipitation - rain,1973-06-15,1973-06-01,1973-06-30,,-8.19,International Atomic Energy Agency,-54.8,International Atomic Energy Agency,9.6,1.2,International Atomic Energy Agency,132,29.5,32.5,,
