Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure,Alkalinity,Alkalinity Provider
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201605,Water - Precipitation - rain,2016-05-15,2016-04-30,2016-05-31,,-1.16,International Atomic Energy Agency,8.6,International Atomic Energy Agency,,,,142.8,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201606,Water - Precipitation - rain,2016-06-15,2016-05-31,2016-06-30,,0.27,International Atomic Energy Agency,22,International Atomic Energy Agency,,,,46.8,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201607,Water - Precipitation - rain,2016-07-15,2016-06-30,2016-07-31,,1.68,International Atomic Energy Agency,30.4,International Atomic Energy Agency,,,,13.5,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201608,Water - Precipitation - rain,2016-08-15,2016-07-31,2016-08-31,,,,,,,,,9,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201609,Water - Precipitation - unspecified (not reported),2016-09-15,2016-08-31,2016-09-30,,-0.2,International Atomic Energy Agency,14,International Atomic Energy Agency,2.1,0.14,International Atomic Energy Agency,,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201610,Water - Precipitation - rain,2016-10-15,2016-09-30,2016-10-31,,-0.39,International Atomic Energy Agency,13.7,International Atomic Energy Agency,2.14,0.14,International Atomic Energy Agency,92,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201611,Water - Precipitation - rain,2016-11-15,2016-10-31,2016-11-30,,-2.84,International Atomic Energy Agency,-8.7,International Atomic Energy Agency,1.39,0.12,International Atomic Energy Agency,136,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201612,Water - Precipitation - rain,2016-12-15,2016-11-30,2016-12-31,,1.32,International Atomic Energy Agency,18.6,International Atomic Energy Agency,1.69,0.12,International Atomic Energy Agency,98,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201701,Water - Precipitation - rain,2017-01-15,2016-12-31,2017-01-31,,1.52,International Atomic Energy Agency,27.3,International Atomic Energy Agency,2.47,0.15,International Atomic Energy Agency,59,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201702,Water - Precipitation - rain,2017-02-15,2017-01-31,2017-02-28,,-0.49,International Atomic Energy Agency,13.8,International Atomic Energy Agency,2.42,0.15,International Atomic Energy Agency,114.2,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201703,Water - Precipitation - rain,2017-03-15,2017-02-28,2017-03-31,,-0.59,International Atomic Energy Agency,8.7,International Atomic Energy Agency,2.65,0.14,International Atomic Energy Agency,110.6,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201704,Water - Precipitation - rain,2017-04-15,2017-03-31,2017-04-30,,-2.73,International Atomic Energy Agency,-6.4,International Atomic Energy Agency,1.33,0.12,International Atomic Energy Agency,186.9,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201705,Water - Precipitation - rain,2017-05-15,2017-04-30,2017-05-31,,-3.37,International Atomic Energy Agency,-14.2,International Atomic Energy Agency,1.23,0.11,International Atomic Energy Agency,27.7,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201706,Water - Precipitation - rain,2017-06-15,2017-05-31,2017-06-30,,-3.17,International Atomic Energy Agency,-12.3,International Atomic Energy Agency,,,,7.9,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201707,Water - Precipitation - rain,2017-07-15,2017-06-30,2017-07-31,,-1.04,International Atomic Energy Agency,1.9,International Atomic Energy Agency,,,,2.8,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201708,Water - Precipitation - rain,2017-08-15,2017-07-31,2017-08-31,,-0.9,International Atomic Energy Agency,6.2,International Atomic Energy Agency,1.78,0.12,International Atomic Energy Agency,37.4,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201709,Water - Precipitation - rain,2017-09-15,2017-08-31,2017-09-30,,1.06,International Atomic Energy Agency,23.6,International Atomic Energy Agency,2.25,0.11,International Atomic Energy Agency,81,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201710,Water - Precipitation - rain,2017-10-15,2017-09-30,2017-10-31,,-1.41,International Atomic Energy Agency,3.2,International Atomic Energy Agency,1.95,0.13,International Atomic Energy Agency,134,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201711,Water - Precipitation - rain,2017-11-15,2017-10-31,2017-11-30,,-4.5,International Atomic Energy Agency,-23.8,International Atomic Energy Agency,1.57,0.12,International Atomic Energy Agency,159.5,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201712,Water - Precipitation - rain,2017-12-15,2017-11-30,2017-12-31,,1.32,International Atomic Energy Agency,23.8,International Atomic Energy Agency,2.11,0.12,International Atomic Energy Agency,71,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201801,Water - Precipitation - rain,2018-01-15,2017-12-31,2018-01-31,,-0.15,International Atomic Energy Agency,17.6,International Atomic Energy Agency,2.83,0.14,International Atomic Energy Agency,124.6,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201802,Water - Precipitation - rain,2018-02-15,2018-01-31,2018-02-28,,0.04,International Atomic Energy Agency,15.3,International Atomic Energy Agency,,,,92.6,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201803,Water - Precipitation - rain,2018-03-15,2018-02-28,2018-03-31,,-3.75,International Atomic Energy Agency,-13.4,International Atomic Energy Agency,,,,135.8,,,,
GNIP,GNIP/M/CD/03,GOMA,CD,6418400,-1.68218,29.22716,1535,Precipitation collectors - unknown,"[Partner: OVG] [Reference: Balagizi et al. 2018: Influence of moisture source dynamics and weather patterns on stable isotopes ratios of precipitation in Central-Eastern Africa, STOTEN 628-629 p. 1058-1078]",201804,Water - Precipitation - rain,2018-04-15,2018-04-01,2018-04-30,,-6.59,International Atomic Energy Agency,-37.7,International Atomic Energy Agency,,,,,,,,
